equipment_type,avg_temperature_c,power_consumption_kw,runtime_hours_per_day,load_percentage,alarm_count,days_since_last_maintenance,anomaly_detected,failure_risk_score
AHU,34.26052377109116,21.24070748791219,8.879906047049445,49.52141859289382,3,194,1,1.3501385109224033
Pump,30.53764211080312,70.65090293653977,23.33468455070216,30.84134988486032,1,110,0,0.9514449523364529
AHU,24.00527394453509,26.306090869082226,23.162762396089924,61.47197013064521,1,66,0,0.6005494117902229
AHU,23.04110488189014,37.04395225822918,8.952632861428775,29.008738347937655,2,254,0,0.609234580544195
Chiller,23.94495490567944,30.15162703721207,10.961039109546409,94.71899348100938,1,283,0,0.7784316609990679
Chiller,31.16911003008009,26.02634468491397,21.9111148174777,34.68637018841168,0,60,0,0.6150622721030934
Chiller,29.243300388197042,99.9567594294767,23.33244441792215,40.22126879609313,1,118,0,1.3740662976310023
Pump,21.148324653746954,37.85637028100239,12.868782056720882,52.530922150797636,0,44,0,0.3968324073426304
AHU,20.959858700679433,111.61923491441168,10.419940912817957,50.65315748473006,1,210,0,0.6866434425671694
AHU,19.672726045127753,116.54155041469694,14.521880265030841,83.57303139183112,1,36,0,0.7571565145058257
Chiller,29.225146234922747,70.6949540427662,17.755384127314695,56.50534564407699,2,19,0,1.0104777610081184
Pump,30.99433525776951,21.445129106558536,9.469490307499596,33.66146080026695,1,91,0,0.6059552915567866
Pump,22.505789281525068,48.073047988651844,18.729463492381456,41.376791638885926,1,301,0,0.8778856106191165
Chiller,18.356064337525517,96.7392102850446,5.033147142292821,60.72907081500176,2,212,0,0.6102938722108444
Chiller,19.396918347099266,47.249933800163106,4.985889855288329,31.79631339409079,2,222,0,0.40466578946399123
Chiller,34.45362059236552,15.006980104820705,11.725754102910905,68.93245405168113,2,217,0,0.9248098802376654
Chiller,23.022561217116145,69.03026475674162,11.06946384121441,65.25978452409167,2,223,0,0.8025088250559007
AHU,31.07679351324827,102.18889792204399,10.312664307343045,77.17618531058062,0,98,0,1.3820479260287712
AHU,28.619280670522485,96.53153452150278,13.8203952533782,95.01636923034941,2,19,0,1.2595124713607633
Chiller,24.49297387409923,25.13916111499062,10.414671646231424,92.98036488809245,1,297,0,0.9532861462351668
AHU,21.496683457324437,82.36793065743367,7.8451583693618385,95.68604944550651,2,26,0,0.4603017059460554
Chiller,20.06356910870991,30.357990295099416,10.189390981772018,39.577247761896075,3,28,0,0.5274871195399465
Chiller,28.455220456660733,30.09386647349981,23.4980854562047,30.525224531148368,1,64,0,0.8615973982919074
AHU,31.1687742708424,105.5182539300963,12.222268339896972,44.18213603971588,2,324,1,1.0955753576106906
AHU,28.946372310199223,33.71192956512647,12.894255537166716,91.60681382130517,0,223,0,1.329604795604478
